title,score_up,comments,post_link
"Low IQ billionaire Mark Cuban holds mock presidential election on Twitter/X poll, whines when his poll gets swamped by anonymous, unvetted votes, accidentally makes perfect case for why not having VoterID negatively impacts elections! ",2001,88,https://patriots.win/p/1994faPlRJ
"DEFUND THE GOVERNMENT HERE WE COME!: Speaker Mike Johnson is finally getting it. When GEOTUS gives an order, you listen. Today he announced he WILL be attaching The SAVE Act (blocks illegals from voting) to the next Spending Bill. There's no way Democrats can vote for that! GOT 'EM!🔥🍿",1989,215,https://patriots.win/p/1994fbWmiU
Catturd: LMAO - says the guy who just spent 16 days on vacation doing nothing.,1826,83,https://patriots.win/p/1994faOemH
"A whistleblower from the Aurora, CO police force is disclosing that the Venezuelan gangs are not merely causing distress in one apartment building. The issue is widespread throughout the entire city. ",1716,173,https://patriots.win/p/1994fbWmFa
"“I was a Kamala Harris supporter. That changed after an illegal alien murdered my son — running him over, then driving back and forth over Drew’s body three times. ",1666,200,https://patriots.win/p/1994faO797
They have similar plans for us,1655,50,https://patriots.win/p/1994fbY9lI
SEVENTY. FIVE. PERCENT.,1638,117,https://patriots.win/p/1994fbXbvf
Only a matter of time ...,1507,141,https://patriots.win/p/1994fbXsiD
"BREAKING: The Philadelphia Eagles just issued a statement rebuking the ""counterfeit"" Kamala Harris ads that have been put up in the city using their name. They're actively getting them REMOVED as we speak. They say the city of Philly somehow worked with someone to put them up.",1443,113,https://patriots.win/p/1994fbWmiR
"JD Vance: It's all fake, like her entire campaign. ",1440,50,https://patriots.win/p/1994fbYQbx
"Gov. Walz’s Legacy is That Majority of Students Can No Longer Read.
Walz oversaw double digit test score declines with the worst scores in 30 years.",1437,69,https://patriots.win/p/1994faNptg
Kamala Harris pretends to have headphones in to avoid questions from reporters,1432,187,https://patriots.win/p/1994faPDTY
JUST IN - U.S. seizes Maduro's plane in the Dominican Republic.,1379,281,https://patriots.win/p/1994faPD0i
"WKILEAKS: ""We're all being treated like suspects in a digital police line-up, with our photos taken for repeated identity checks - often without us even realising it""  
What the Government isn't telling you about facial recognition - @BigBrotherWatch new doco 👇",1374,97,https://patriots.win/p/1994faPDHC
A teen girl was the victim of a random stabbing attack in Indiana and you'll never guess the perp's immigration status,1349,60,https://patriots.win/p/1994fbXsVp
